#
#
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; z_m; theta_rad; phi_rad; vy_mps; vz_mps
5.573744;1.875300;-2.291600;-0.141634;-0.034760;2.769600;0.766641;30.275200;-0.441768;-1.863623;0.069800;-0.291800
5.688317;1.977400;-2.301700;-0.108441;-0.132091;2.897400;3.199945;30.223801;-0.441277;-1.797326;0.057600;-0.352800
5.805978;2.103100;-2.316400;-0.168222;-0.444308;3.078500;4.497827;30.167601;-0.479726;-1.886317;0.094100;-0.373600
5.921499;2.209400;-2.341100;-0.215476;-0.276659;3.385700;7.642604;30.103100;-0.500684;-1.951299;-0.125800;-0.246100
6.045060;2.328800;-2.365800;-0.230257;-0.021213;3.348400;-0.942286;30.044100;-0.479153;-1.994648;-0.047500;-0.376100
6.171613;2.450000;-2.397500;-0.221883;0.111621;3.381100;0.818975;29.978100;-0.463485;-1.994797;0.007300;-0.381000
6.299001;2.575700;-2.421500;-0.201937;0.207707;3.510300;3.192012;29.920700;-0.440635;-1.980394;-0.140600;-0.289400
6.426617;2.699600;-2.448600;-0.168885;0.181987;3.529400;0.485461;29.860399;-0.406471;-1.947958;-0.064700;-0.297100
6.554205;2.827300;-2.464400;-0.155420;-0.021022;3.467500;-1.513617;29.812401;-0.385829;-1.938952;0.067800;-0.194300
6.680370;2.951700;-2.488100;-0.174465;-0.036359;3.459500;-0.201378;29.757999;-0.403194;-1.962632;0.053200;-0.097900
6.802815;3.075800;-2.508200;-0.164074;0.058621;3.286700;-4.295629;29.706400;-0.407189;-1.937325;0.282600;-0.062400
6.914796;3.193300;-2.528100;-0.160084;-0.051516;3.200000;-2.204863;29.653799;-0.424001;-1.914328;0.210200;-0.137800
7.024548;3.296900;-2.543900;-0.176309;-0.363380;3.228100;0.700195;29.606600;-0.445529;-1.927871;0.289100;-0.033200
7.136056;3.409400;-2.566600;-0.238562;-0.329896;3.159200;-1.694547;29.550600;-0.521129;-1.971512;0.172700;-0.069700
7.244665;3.513600;-2.596600;-0.251231;-0.056680;3.089300;-1.721489;29.482201;-0.556544;-1.962057;0.194800;-0.093000
7.351759;3.619800;-2.620600;-0.250527;-0.009082;3.142800;1.377048;29.419701;-0.569656;-1.950912;0.075300;-0.227100
7.462177;3.721100;-2.649700;-0.253106;-0.253716;3.227300;2.084044;29.349300;-0.557842;-1.963776;0.143300;-0.305600
7.582635;3.833600;-2.675900;-0.302192;-0.324603;3.232600;0.133713;29.286301;-0.539781;-2.050567;-0.023400;-0.330100
7.702418;3.951100;-2.721400;-0.335611;0.266380;3.407600;4.360503;29.211500;-0.578145;-2.061703;0.282100;-0.279300
7.811344;4.059800;-2.754800;-0.228278;0.417759;3.292800;-2.893144;29.138700;-0.602970;-1.896236;-0.053500;-0.362900
7.920781;4.163300;-2.770700;-0.254952;-0.851899;3.456100;4.083500;29.065399;-0.614014;-1.924935;0.251200;-0.336400
8.037545;4.271600;-2.810000;-0.405397;-0.489696;3.458500;0.059943;28.989401;-0.647215;-2.087218;0.166700;-0.280500
8.160439;4.377900;-2.862800;-0.380581;0.292034;3.636700;4.447556;28.903200;-0.617637;-2.083738;0.040900;-0.306500
8.286433;4.499800;-2.901300;-0.333548;0.059649;3.659900;0.579449;28.827299;-0.593990;-2.044836;0.525900;-0.271400
8.410288;4.616000;-2.945300;-0.364914;-0.312036;3.697800;0.954307;28.742399;-0.641974;-2.043196;0.421600;-0.137900
8.529786;4.731200;-2.989700;-0.411979;-0.353512;3.693800;-0.097244;28.654301;-0.682209;-2.064338;0.462400;-0.022300
8.643591;4.835000;-3.041000;-0.449500;-0.421146;3.613600;-2.057705;28.564501;-0.714465;-2.078417;0.506900;0.058800
8.750253;4.936200;-3.088600;-0.509785;-0.797484;3.435900;-4.436713;28.476500;-0.769025;-2.094651;0.592900;0.077100
8.858319;5.021200;-3.145100;-0.614441;-0.864254;3.374600;-1.524335;28.384300;-0.863764;-2.113278;0.338700;-0.054300
8.973610;5.112800;-3.213200;-0.692962;-0.784761;3.316800;-1.154218;28.269800;-0.921914;-2.132808;0.391300;-0.211000
9.088352;5.198600;-3.292400;-0.801113;-0.213290;3.305500;-0.227489;28.150400;-0.991258;-2.164828;0.184900;-0.078400
9.199061;5.272500;-3.378000;-0.739396;0.363990;3.228700;-1.529874;28.025801;-0.942530;-2.155923;0.017900;-0.155200
9.308914;5.362200;-3.441600;-0.722597;-0.022894;3.137100;-1.810800;27.925200;-0.916138;-2.165751;0.021100;-0.162500
9.417722;5.437300;-3.523300;-0.744768;-0.074506;3.154100;0.348566;27.811100;-0.911364;-2.191274;-0.129600;-0.155100
9.528292;5.522200;-3.589100;-0.738698;-0.389501;3.175700;0.429407;27.718800;-0.898021;-2.198519;0.053100;-0.197400
9.642911;5.600800;-3.672200;-0.827671;0.259498;3.268400;1.858399;27.605900;-0.982296;-2.198981;-0.057800;-0.272100
9.759820;5.677300;-3.757900;-0.684827;0.839304;3.394700;2.502812;27.486401;-0.853468;-2.189816;-0.211000;-0.343900
9.874996;5.781900;-3.820100;-0.627264;-0.138261;3.570100;4.396324;27.398300;-0.785133;-2.198312;-0.009800;-0.270700
9.984675;5.863800;-3.893100;-0.722175;-0.042258;3.704600;3.332155;27.299999;-0.883656;-2.196682;-0.213600;-0.337900
10.099588;5.946500;-3.965100;-0.635931;1.140532;3.775300;1.783298;27.197701;-0.835203;-2.159815;-0.169200;-0.352800
10.217229;6.048700;-4.029600;-0.459274;0.686264;3.850100;1.870928;27.095699;-0.695438;-2.105765;0.013200;-0.293600
10.333126;6.157400;-4.069400;-0.469628;-0.478134;3.859500;0.236017;27.021700;-0.694876;-2.117681;-0.046100;-0.246100
10.449786;6.255400;-4.134500;-0.569458;-0.405374;3.788600;-1.768822;26.923401;-0.775376;-2.149395;0.121800;-0.142300
10.564750;6.353900;-4.195200;-0.564961;-0.677970;3.659700;-3.211175;26.829100;-0.769182;-2.150525;0.149400;-0.113200
10.683437;6.449600;-4.257600;-0.721010;-0.623103;3.689500;0.746202;26.735399;-0.871063;-2.207770;0.150900;-0.053200
10.798919;6.532200;-4.351900;-0.718301;0.461421;3.567600;-3.011155;26.617300;-0.877516;-2.198912;0.145900;-0.079900
10.904938;6.623500;-4.409600;-0.605006;0.572936;3.468800;-2.203844;26.526100;-0.815693;-2.147756;0.141900;-0.049900
11.008768;6.706600;-4.472500;-0.606703;0.259021;3.535800;1.940317;26.431999;-0.889947;-2.082961;-0.225300;-0.114900
11.115448;6.794100;-4.528000;-0.552638;0.312371;3.531800;-0.067111;26.315500;-0.862015;-2.057219;0.031700;-0.386500
11.227617;6.888200;-4.584500;-0.539273;0.196609;3.703400;4.291765;26.220200;-0.789279;-2.106655;-0.007500;-0.399700
11.349616;6.986600;-4.643200;-0.510403;0.136120;3.906200;5.009216;26.121500;-0.728098;-2.131571;-0.018200;-0.433300
11.479929;7.101100;-4.703700;-0.504155;0.099030;4.047400;3.540794;26.030399;-0.708628;-2.142702;0.033200;-0.486500
11.607635;7.214800;-4.769100;-0.483786;0.203258;4.214500;4.160489;25.925900;-0.701444;-2.127229;0.021000;-0.423500
11.721798;7.327200;-4.822500;-0.448956;0.079299;4.363800;5.027768;25.839399;-0.676633;-2.111127;0.179100;-0.383400
11.825980;7.420500;-4.868200;-0.471802;-0.165371;4.324000;-1.303942;25.760700;-0.709911;-2.106592;0.181300;-0.392200
11.930443;7.512800;-4.917200;-0.481201;-0.260861;4.398400;2.472524;25.679899;-0.719594;-2.108130;0.076500;-0.357700
12.041641;7.605700;-4.964900;-0.523608;-0.232817;4.392600;-0.195698;25.598400;-0.735844;-2.138419;0.159700;-0.440800
12.153846;7.705400;-5.028400;-0.535453;0.117962;4.469700;1.916628;25.505501;-0.732816;-2.153599;0.195800;-0.278400
12.269632;7.798700;-5.079400;-0.498416;0.247717;4.380800;-2.967138;25.424700;-0.775721;-2.077382;-0.023100;-0.189700
12.384263;7.908800;-5.139100;-0.476716;0.528120;4.369800;-0.272178;25.306000;-0.769689;-2.060439;0.201500;-0.199900
12.510195;8.002400;-5.184600;-0.386331;0.049266;4.292700;-2.610120;25.227301;-0.596459;-2.110567;0.176300;-0.167600
12.639512;8.142100;-5.234000;-0.454311;-0.407430;4.259700;-1.078015;25.147600;-0.691260;-2.103995;0.064500;-0.145700
12.751835;8.234800;-5.298100;-0.499488;0.106705;4.185000;-1.883055;25.035000;-0.799400;-2.058599;0.278800;-0.224800
12.874039;8.339300;-5.341600;-0.429608;0.310276;4.178700;-0.156138;24.944799;-0.716211;-2.055318;0.191600;-0.257700
13.006324;8.457000;-5.399900;-0.418839;0.017460;4.123200;-1.399440;24.841600;-0.730681;-2.031859;0.024000;-0.217000
13.122888;8.581000;-5.449200;-0.424887;-0.654360;4.288700;4.168429;24.728201;-0.738098;-2.032369;0.029200;-0.167400
13.233194;8.669400;-5.496000;-0.579454;0.088111;4.282200;-0.219003;24.648399;-0.775003;-2.159816;-0.084900;-0.228600
13.347490;8.765600;-5.570000;-0.402768;1.455360;4.148600;-3.322314;24.547400;-0.670841;-2.063490;-0.173600;-0.225300
13.455734;8.879700;-5.585600;-0.229740;-0.156283;4.173900;0.836329;24.481501;-0.586573;-1.909157;0.329400;-0.400700
13.556715;8.976400;-5.619300;-0.462982;-1.321068;4.265300;3.066802;24.407301;-0.755781;-2.057881;0.198800;-0.465300
13.658004;9.060400;-5.675800;-0.481974;0.550045;4.399500;4.419803;24.311199;-0.738483;-2.092377;-0.158200;-0.327400
13.766676;9.155900;-5.713200;-0.360172;0.444963;4.299400;-3.383534;24.243900;-0.617684;-2.058240;0.068300;-0.174600
13.875132;9.263800;-5.752400;-0.376740;-0.163671;4.237500;-2.040316;24.166700;-0.644531;-2.055330;0.127500;-0.204100
13.992967;9.357600;-5.793000;-0.394138;-0.334521;4.137600;-3.371179;24.092300;-0.664346;-2.059014;0.084000;-0.219600
14.109513;9.481400;-5.842900;-0.457699;-0.201036;4.091500;-1.151800;23.996300;-0.699099;-2.100776;0.239800;-0.142300
14.216721;9.566700;-5.896000;-0.438825;0.648598;4.150100;1.947074;23.916500;-0.639942;-2.133310;0.213600;0.073200
14.337908;9.675500;-5.934000;-0.333754;0.237794;3.990300;-5.321345;23.851801;-0.585679;-2.052450;0.065900;0.112300
14.463978;9.795700;-5.975400;-0.367544;-0.764997;3.885400;-2.634610;23.764601;-0.642755;-2.045728;0.263400;0.071600
14.577469;9.910800;-6.024600;-0.546691;-0.846484;3.784800;-2.519118;23.675600;-0.787202;-2.115886;0.177800;0.038100
14.681080;9.989600;-6.093400;-0.540336;0.791987;3.723900;-1.498880;23.570000;-0.806601;-2.092610;0.162200;0.007800
14.792330;10.088500;-6.131200;-0.393443;0.405663;3.649200;-1.885419;23.490200;-0.683871;-2.041820;0.235400;-0.005700
14.909608;10.195100;-6.178700;-0.437144;-0.136218;3.565000;-2.101495;23.402500;-0.698937;-2.078228;-0.094700;0.052300
15.023723;10.301000;-6.230500;-0.427390;-0.090211;3.519600;-1.130115;23.311600;-0.695922;-2.069982;0.173200;0.028400
15.141678;10.402800;-6.273300;-0.457011;0.238702;3.350400;-4.250677;23.229000;-0.764668;-2.044436;0.035700;0.016700
15.256092;10.512700;-6.334600;-0.369305;0.702685;3.316800;-0.668644;23.108500;-0.719558;-1.986734;-0.014200;-0.067800
15.362009;10.616200;-6.355900;-0.293085;-0.599762;3.295200;-0.546503;23.042000;-0.617774;-1.972417;0.179500;-0.082200
15.473192;10.715500;-6.395800;-0.493820;-1.017868;3.289900;-0.131851;22.964399;-0.690606;-2.148169;0.124200;0.001900
15.583051;10.812000;-6.461300;-0.530662;0.173796;3.204400;-2.144520;22.880199;-0.702729;-2.176698;0.211800;0.017200
15.685540;10.905000;-6.507000;-0.449684;0.460540;3.192500;-0.296855;22.803900;-0.696863;-2.093909;0.067100;0.124100
15.792426;10.996600;-6.550400;-0.442306;0.170958;3.042300;-3.779422;22.725700;-0.655321;-2.123012;0.187900;0.025300
15.908927;11.098200;-6.598500;-0.415263;0.057853;2.944500;-2.417069;22.655399;-0.634135;-2.110839;0.349800;-0.019300
16.025417;11.209800;-6.644400;-0.426593;-0.053951;2.862500;-1.635712;22.568899;-0.687037;-2.076725;0.044300;-0.021900
16.134338;11.310300;-6.694900;-0.427918;0.121815;2.838200;-0.486135;22.481400;-0.719327;-2.050896;0.184400;-0.026700
16.239496;11.408000;-6.734800;-0.398960;0.018448;2.759100;-1.444239;22.395300;-0.662864;-2.065917;0.040600;0.014800
16.350404;11.504100;-6.776600;-0.423719;-0.066859;2.642500;-2.579435;22.330099;-0.639212;-2.116195;0.249900;-0.014700
16.467576;11.610200;-6.826000;-0.415538;-0.222397;2.622000;-0.406677;22.245001;-0.680341;-2.069987;0.016100;0.040400
16.580464;11.718500;-6.871200;-0.477710;-0.256251;2.505000;-1.981536;22.156601;-0.724907;-2.099708;-0.057000;0.004200
16.694149;11.810700;-6.929800;-0.471123;0.444284;2.366000;-2.307281;22.067400;-0.696391;-2.117956;0.161200;0.011500
16.809262;11.921100;-6.974400;-0.377683;0.240088;2.252700;-1.887420;21.987200;-0.637190;-2.062816;0.069600;0.014000
16.921621;12.024700;-7.014700;-0.415467;-0.217310;2.197400;-0.924174;21.909000;-0.674502;-2.074947;0.104700;-0.068000
17.034378;12.126700;-7.065100;-0.425564;0.267730;2.076100;-1.735893;21.822800;-0.660576;-2.098868;0.045700;-0.014700
17.142181;12.230100;-7.107800;-0.351823;-0.210244;1.920500;-2.212828;21.749399;-0.595380;-2.067429;0.070900;0.076400
17.247085;12.329100;-7.139400;-0.477928;-1.398057;1.734900;-2.648670;21.685699;-0.721516;-2.102924;0.214300;-0.048700
17.356969;12.416400;-7.204300;-0.635220;0.427327;1.697800;-0.463205;21.585501;-0.830956;-2.163074;0.053500;-0.064200
17.464069;12.506000;-7.269800;-0.382760;1.090798;1.509900;-1.878492;21.491899;-0.642136;-2.064653;-0.025100;-0.001200
17.566784;12.615100;-7.284300;-0.406359;-0.568468;1.398700;-1.396067;21.436899;-0.666741;-2.071177;0.107700;0.016000
17.669817;12.694700;-7.351000;-0.498380;0.129657;1.144200;-2.119160;21.343399;-0.745190;-2.103699;-0.005000;-0.008300
17.772859;12.796100;-7.382800;-0.379788;-0.275300;1.051100;-0.843777;21.269899;-0.657233;-2.048163;0.093700;-0.033500
17.872685;12.886100;-7.427400;-0.561464;-1.559610;0.891206;-1.235347;21.195700;-0.789814;-2.128288;0.000000;0.027600
17.973095;12.965100;-7.489100;-0.685938;-0.303238;0.556704;-1.853863;21.099400;-0.846629;-2.197424;0.000000;-0.048000
18.073086;13.041500;-7.554600;-0.623101;0.780109;0.204140;-1.103936;21.020000;-0.794850;-2.184965;0.000000;-0.013800
18.173418;13.127500;-7.605800;-0.530336;0.667117;1.278700;0.144414;20.933901;-0.764764;-2.119323;0.005400;-0.141500
18.278865;13.214600;-7.656100;-0.490792;0.265661;1.677700;4.448634;20.853901;-0.704492;-2.132063;-0.019000;-0.213800
18.388281;13.313500;-7.705200;-0.473048;0.000838;2.129100;6.475085;20.775801;-0.687632;-2.128041;0.099000;-0.247300
18.498266;13.409400;-7.755800;-0.489878;-0.196484;2.319700;2.932973;20.693899;-0.717557;-2.119247;0.045300;-0.305500
18.614940;13.507600;-7.808700;-0.514841;-0.189955;2.354100;0.625973;20.606400;-0.721575;-2.142220;0.079500;-0.287500
18.730600;13.612500;-7.870700;-0.535821;-0.098575;2.670900;5.290389;20.515200;-0.720144;-2.165775;0.024300;-0.250600
18.842709;13.706500;-7.926800;-0.537512;-0.006730;2.845800;3.494157;20.431900;-0.729532;-2.158801;0.046500;-0.336600
18.951543;13.805100;-7.985500;-0.537270;0.061989;3.150100;6.070199;20.343000;-0.732517;-2.155778;0.056900;-0.346700
19.054698;13.893500;-8.038200;-0.523297;0.012133;3.251000;2.526465;20.263700;-0.731179;-2.142352;0.091100;-0.368300
19.161474;13.983800;-8.088600;-0.535120;-0.060751;3.248900;-0.052738;20.182699;-0.726374;-2.159222;0.146100;-0.315100
19.268755;14.077200;-8.147100;-0.536665;0.008019;3.265000;0.398256;20.100500;-0.718369;-2.168331;0.124400;-0.218800
19.374376;14.168200;-8.198300;-0.533356;0.002327;3.192500;-1.785889;20.021500;-0.717391;-2.165743;0.128600;-0.274800
19.480466;14.259100;-8.254500;-0.536212;0.009385;3.275800;2.118387;19.941799;-0.707220;-2.178373;0.133200;-0.135900
19.592999;14.350600;-8.306700;-0.531654;-0.007961;3.226700;-1.211677;19.865601;-0.705685;-2.174958;0.076400;-0.043600
19.712259;14.453100;-8.368600;-0.537400;0.109961;3.033000;-3.896469;19.776501;-0.711074;-2.175986;0.213400;0.062300
19.825318;14.555500;-8.428800;-0.504008;0.152148;2.772500;-5.173712;19.689100;-0.704205;-2.146626;0.087500;0.053000
